name,team,age,pre_IP,pre_FIP,prior_FIP,marcel_FIP,proj_FIP,model,mlbam
Juan Mejia,Colorado Rockies,25,36.7,3.89,3.706,3.844,3.975,Ridge regression,675848
DL Hall,Milwaukee Brewers,27,31.0,3.873,3.73,3.868,3.978,Ridge regression,669084
Bryan Hudson,Chicago White Sox,29,38.0,3.099,5.335,4.276,3.981,Ridge regression,663542
Brad Lord,Washington Nationals,26,54.3,3.927,4.229,4.068,3.983,Ridge regression,695418
JoJo Romero,St. Louis Cardinals,29,36.3,4.2,3.283,3.817,3.986,Ridge regression,668941
Emmet Sheehan,Los Angeles Dodgers,26,67.7,4.606,2.93,3.985,3.99,Ridge regression,686218
Caleb Thielbar,Chicago Cubs,39,23.0,4.969,2.997,3.92,3.997,Ridge regression,573204
Payton Tolle,Boston Red Sox,23,71.3,3.183,6.257,4.263,4.0,Ridge regression,801139
Matt Festa,Cleveland Guardians,33,34.3,4.41,3.135,3.859,4.003,Ridge regression,670036
Yuki Matsui,San Diego Padres,30,27.7,4.364,4.872,4.6,4.003,Ridge regression,673513
Eric Orze,Minnesota Twins,28,37.0,3.261,4.047,3.782,4.008,Ridge regression,679358
Taj Bradley,Minnesota Twins,25,83.7,4.115,4.348,4.171,4.024,Ridge regression,671737
Cade Cavalli,Washington Nationals,27,83.3,3.531,4.532,3.906,4.028,Ridge regression,676917
Sean Manaea,New York Mets,34,57.3,3.675,4.388,4.078,4.029,Ridge regression,640455
Sonny Gray,Boston Red Sox,36,76.3,3.806,3.39,3.817,4.032,Ridge regression,543243
Seranthony Domínguez,Chicago White Sox,31,29.3,4.769,3.47,4.08,4.033,Ridge regression,622554
Bryan King,Houston Astros,29,36.0,3.46,3.679,3.711,4.042,Ridge regression,687911
Jake Irvin,Washington Nationals,29,51.7,4.241,5.635,4.776,4.045,Ridge regression,663623
Brennan Bernardino,Colorado Rockies,34,32.7,3.466,3.406,3.648,4.047,Ridge regression,657514
Chase Dollander,Colorado Rockies,24,44.0,4.167,5.533,4.691,4.049,Ridge regression,801403
Braydon Fisher,Toronto Blue Jays,25,44.0,4.463,3.015,3.81,4.052,Ridge regression,680755
Greg Weissert,Boston Red Sox,31,30.7,4.338,3.672,4.039,4.054,Ridge regression,669711
Tanner Gordon,Colorado Rockies,28,35.3,4.09,5.047,4.539,4.06,Ridge regression,685299
Cole Winn,Texas Rangers,26,26.0,4.599,3.903,4.162,4.06,Ridge regression,668390
John King,Miami Marlins,31,36.0,3.627,4.997,4.37,4.062,Ridge regression,667463
José Soriano,Los Angeles Angels,27,95.0,4.204,3.733,4.074,4.062,Ridge regression,667755
Nathan Eovaldi,Texas Rangers,36,100.3,4.155,2.797,3.892,4.064,Ridge regression,543135
Justin Sterner,Athletics,29,37.7,4.559,4.273,4.387,4.066,Ridge regression,686993
Griffin Jax,Tampa Bay Rays,31,54.0,4.469,2.514,3.743,4.068,Ridge regression,643377
Pete Fairbanks,Miami Marlins,32,24.0,5.432,3.632,4.314,4.069,Ridge regression,664126
Carmen Mlodzinski,Pittsburgh Pirates,27,70.7,3.679,3.327,3.635,4.071,Ridge regression,669387
Clayton Beeter,Washington Nationals,27,25.3,4.283,4.201,4.221,4.072,Ridge regression,690925
Trevor McDonald,San Francisco Giants,25,51.0,4.001,2.535,3.456,4.075,Ridge regression,686790
Luis Castillo,Seattle Mariners,33,76.7,3.934,3.877,4.009,4.076,Ridge regression,622491
Ryan Weathers,New York Yankees,26,86.7,4.172,4.596,4.285,4.079,Ridge regression,677960
Hunter Gaddis,Cleveland Guardians,28,23.7,4.071,3.495,3.816,4.08,Ridge regression,683769
Kevin Kelly,Tampa Bay Rays,28,38.0,3.599,5.656,4.598,4.081,Ridge regression,687330
Emerson Hancock,Seattle Mariners,27,90.7,3.761,5.079,4.179,4.082,Ridge regression,676106
Eury Pérez,Miami Marlins,23,67.3,4.718,3.67,4.256,4.082,Ridge regression,691587
Casey Legumina,Tampa Bay Rays,29,34.3,3.419,4.383,4.014,4.086,Ridge regression,668984
Jaden Hill,Colorado Rockies,26,26.7,4.224,3.442,3.826,4.089,Ridge regression,677955
Walbert Ureña,Los Angeles Angels,22,71.7,3.839,,3.945,4.093,Ridge regression,700712
Alex Lange,Kansas City Royals,30,36.3,3.842,4.135,4.063,4.095,Ridge regression,656638
Brant Hurter,Detroit Tigers,27,25.3,3.731,3.611,3.767,4.096,Ridge regression,676428
Connelly Early,Boston Red Sox,24,87.7,4.719,0.911,3.541,4.104,Ridge regression,813349
Tyler Rogers,Toronto Blue Jays,35,38.7,2.996,2.876,3.241,4.105,Ridge regression,643511
Tyler Holton,Detroit Tigers,30,38.7,3.927,4.635,4.305,4.106,Ridge regression,663947
Sean Burke,Chicago White Sox,26,87.3,3.981,4.922,4.264,4.106,Ridge regression,680732
Sam Bachman,Los Angeles Angels,26,37.7,4.48,3.627,4.048,4.113,Ridge regression,696147
Brent Suter,Los Angeles Angels,36,48.0,3.599,4.568,4.163,4.114,Ridge regression,608718
Yohan Ramírez,Pittsburgh Pirates,31,46.0,4.273,3.795,4.108,4.115,Ridge regression,670990
Jared Jones,Pittsburgh Pirates,24,25.0,4.779,,4.328,4.119,Ridge regression,683003
David Peterson,Chicago Cubs,30,73.7,3.913,3.485,3.845,4.123,Ridge regression,656849
Tyler Davis,Chicago White Sox,27,23.3,4.17,,4.179,4.128,Ridge regression,699823
Walker Buehler,San Diego Padres,31,78.0,3.42,5.659,4.241,4.132,Ridge regression,621111
Kyle Bradish,Baltimore Orioles,29,93.0,4.121,2.447,3.689,4.135,Ridge regression,680694
Freddy Peralta,New York Mets,30,91.3,4.161,3.644,4.05,4.143,Ridge regression,642547
Ryan Rolison,Chicago Cubs,28,31.7,4.015,6.749,5.31,4.143,Ridge regression,669020
Peter Lambert,Houston Astros,29,68.7,4.002,,4.106,4.145,Ridge regression,663567
Paxton Schultz,Washington Nationals,28,30.7,4.371,4.067,4.203,4.148,Ridge regression,687606
Chase Shugart,Philadelphia Phillies,29,28.0,4.992,4.691,4.703,4.15,Ridge regression,663767
Luis Severino,Athletics,32,62.7,4.471,4.106,4.354,4.153,Ridge regression,622663
Jake Woodford,Milwaukee Brewers,29,23.3,3.956,4.263,4.18,4.156,Ridge regression,663765
Trevor Rogers,Baltimore Orioles,28,79.3,3.981,2.816,3.666,4.169,Ridge regression,669432
JT Brubaker,San Francisco Giants,32,39.3,3.709,2.961,3.528,4.169,Ridge regression,664141
Joey Cantillo,Cleveland Guardians,26,86.0,4.332,3.555,4.08,4.172,Ridge regression,676282
Chad Patrick,Milwaukee Brewers,27,62.3,4.19,3.528,3.961,4.172,Ridge regression,694477
Ryan Thompson,Arizona Diamondbacks,34,28.3,3.628,3.74,3.864,4.177,Ridge regression,657044
Foster Griffin,Washington Nationals,30,98.3,4.197,,4.221,4.178,Ridge regression,656492
Jonathan Loáisiga,Arizona Diamondbacks,31,30.7,3.066,5.832,4.608,4.183,Ridge regression,642528
Spencer Strider,Atlanta Braves,27,39.0,5.355,4.531,4.792,4.185,Ridge regression,675911
Cooper Criswell,Seattle Mariners,29,30.7,3.751,5.173,4.515,4.185,Ridge regression,681867
Shane Baz,Baltimore Orioles,27,94.0,3.833,4.367,4.019,4.189,Ridge regression,669358
Ryan Yarbrough,New York Yankees,34,31.3,3.514,5.041,4.418,4.19,Ridge regression,642232
Connor Seabold,Kansas City Royals,30,23.3,3.913,4.2,4.146,4.194,Ridge regression,657756
Matt Svanson,St. Louis Cardinals,27,35.0,4.728,2.721,3.737,4.199,Ridge regression,694335
Janson Junk,Miami Marlins,30,60.0,4.099,3.144,3.807,4.202,Ridge regression,676083
Mason Englert,Tampa Bay Rays,26,25.0,4.499,3.135,3.748,4.206,Ridge regression,669438
